Text,Text1,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID1,SoundKitID2,EmoteId1,EmoteId2,EmoteId3,EmoteDelay1,EmoteDelay2,EmoteDelay3,VerifiedBuild
This is a dangerous line of business!$B$BMiran just left with a delivery. He should be back in a few minutes.,,566,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Lots to do, lots to do! The Union's given us deadlines and they're not the sort you want to miss!",,2461,0,0,0,0,0,0,0,0,5,0,0,0,0,0,40618
"Director Riddlevox put me in charge of the Union's shredder development program. Few months on the job and I'm already in hot water! I could use your help, $n!",,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"See, the Venture Company's new shredder is better than my latest, from the interchangeable hands to the control grips! My boss has given me a pretty strict deadline, but my boys and I couldn't come up with anything.$b$bNothing was working, so we decided to ""borrow"" one of their prototypes. I sent Wizzlecrank to the Sludge Fen to steal one, but he hasn't gotten back yet!",,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"Come closer, young one.  In my time I could hear the flutter of a prey's beating heart, but now you must speak up if you want your words heard.",,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
You killed Ghost Howl.  You're a stud!,,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
"I have run through these plains for many, many seasons.  And I have hunted great beasts.  And I had never been bested... until I faced Ghost Howl.$B$BLong ago, the massive wolf was an ally to the tauren and fought bravely against the Burning Legion.  But he was wounded savagely by a demon, and the tear in his flesh never healed.  Eventually... it drove Ghost Howl mad.$B$BNow he roams the plains in agony, seeking an end to his pain.  To my shame, when we fought I lacked the strength to slay him...",,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
Greetings mage.  Shall I provide you with further insight into the world of magic?,Greetings mage.  Shall I provide you with further insight into the world of magic?,2502,7,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.","Well met, $c.  My advice to you is this: As you travel the world, be wary of magic for it will burn the untrained.",2503,7,0,0,0,0,0,0,0,1,0,0,0,0,0,40618
"Greetings.  I'm a mage trainer, and you're a mage.","Greetings.  I'm a mage trainer, and you're a mage.",2523,7,0,0,0,0,0,0,0,0,0,0,0,0,0,40618
